recording_name,subject_id,dataset_name,age_months,mean_prop_looking,sd_prop_looking,n_trials_prop_looking,mean_prop_looking_diff,sd_prop_looking_diff,n_trials_prop_looking_diff,mean_number_fixations,sd_number_fixations,n_trials_number_fixations,mean_prop_shift_target_initial,sd_prop_shift_target_initial,n_trials_prop_shift_target_initial,mean_prop_shift_distractor_initial,sd_prop_shift_distractor_initial,n_trials_prop_shift_distractor_initial,mean_RT,sd_RT,n_trials_RT,mean_aoi_switches,n_trials_mean_aoi_switches,mean_duration_of_look,sd_duration_of_look,n_trials_duration_of_look,mean_first_look_dur,sd_first_look_dur,n_trials_first_look_dur,mean_longest_look,sd_longest_look,age_months_centred,data_split
0_0_casillas_tseltal_2015_14,0,casillas_tseltal_2015,14,0.4197260510633081,0.425068149454641,29,NA,NA,NA,1.0526315789473684,0.22941573387056177,19,0.5714285714285714,0.5135525910130955,14,0.26666666666666666,0.45773770821706344,15,565,300.6936425444786,4,0.41379310344827586,29,2591.5789473684213,1526.3364386584656,19,2574.7368421052633,1535.8941240313143,19,2608.4210526315787,1520.2677511174534,-11,all
1_1_casillas_tseltal_2015_22,1,casillas_tseltal_2015,22,0.5421672126627347,0.3283251222197074,30,NA,NA,NA,1.12,0.33166247903553997,25,0.6,0.5163977794943222,10,0.5789473684210527,0.5072572735017881,19,917.2727272727273,354.86873373378245,11,0.8666666666666667,30,2447.2,1100.7403569113533,25,2290.769230769231,1244.5880381135698,26,2508.8,1051.3813136377623,-3,all
2_2_casillas_tseltal_2015_45,2,casillas_tseltal_2015,45,0.7033737129475353,0.18195096495370847,30,NA,NA,NA,1.3,0.466091599699399,30,0.5,0.5163977794943222,16,1,0,14,341.7857142857143,219.58533598630802,14,1.2666666666666666,30,2342.6666666666665,1096.2976355657831,30,2332,1127.1275667483862,30,2473.3333333333335,1005.6438436294854,20,all
3_3_casillas_tseltal_2015_22,3,casillas_tseltal_2015,22,0.5585627062777596,0.38397852990081155,28,NA,NA,NA,1.1818181818181819,0.39477101697586137,22,0.5833333333333334,0.5149286505444373,12,0.375,0.5,16,656.6666666666666,288.8194360957494,6,0.6428571428571429,28,2544.5454545454545,1337.5162741252097,22,2293.3333333333335,1482.919173577009,24,2607.2727272727275,1298.2999206588145,-3,all
4_4_casillas_tseltal_2015_45,4,casillas_tseltal_2015,45,0.6209612601101481,0.2619177052343127,29,NA,NA,NA,1.2222222222222223,0.4236592728681617,27,0.3,0.48304589153964794,10,0.9473684210526315,0.22941573387056177,19,440,194.40709258424403,18,1.0689655172413792,29,2348.1481481481483,1013.6644758082772,27,2200,1134.4569593389572,28,2450.3703703703704,931.8694258213577,20,all
5_5_casillas_tseltal_2015_27,5,casillas_tseltal_2015,27,0.5419367224665839,0.2857917082742608,30,NA,NA,NA,1.25,0.44095855184409843,28,0.35714285714285715,0.4972451580988469,14,0.6875,0.47871355387816905,16,410.45454545454544,233.93860888547817,11,1.2333333333333334,30,2045,1194.0671238654452,28,2030.344827586207,1187.7303769272983,29,2137.1428571428573,1148.7540985067164,2,all
6_6_casillas_tseltal_2015_39,6,casillas_tseltal_2015,39,0.766656436617294,0.26827896333091544,30,NA,NA,NA,1.103448275862069,0.3099340466946034,29,0.7692307692307693,0.4385290096535146,13,0.8823529411764706,0.3321055820775357,17,581.6666666666666,267.53949419175655,15,0.6,30,3093.793103448276,1067.0667866134697,29,3060,1139.8124467617922,30,3155.862068965517,1029.5821525585004,14,all
7_7_casillas_tseltal_2015_25,7,casillas_tseltal_2015,25,0.5778260509764979,0.47141778243452626,30,NA,NA,NA,1.0526315789473684,0.22941573387056177,19,0.9411764705882353,0.24253562503633297,17,0.08333333333333333,0.28867513459481287,12,1265,NA,1,0.13333333333333333,30,3687.3684210526317,986.3785733979016,19,3751.5789473684213,911.4168649714499,19,3751.5789473684213,911.4168649714499,0,all
8_8_casillas_tseltal_2015_14,8,casillas_tseltal_2015,14,0.45380167920143333,0.38403855583667884,27,NA,NA,NA,1.05,0.22360679774997896,20,0.6666666666666666,0.49236596391733095,12,0.42857142857142855,0.5135525910130955,14,990,220.22715545545242,6,0.7407407407407407,27,2418,1451.6183346436776,20,2209.5238095238096,1587.5467747139805,21,2420,1449.413674559475,-11,all
9_9_casillas_tseltal_2015_42,9,casillas_tseltal_2015,42,0.5912986388785272,0.25398109387575774,30,NA,NA,NA,1.1785714285714286,0.3900210277874798,28,0.47058823529411764,0.5144957554275266,17,0.9230769230769231,0.2773500981126146,13,519.1666666666666,210.74363285252247,12,1.2666666666666666,30,2285,1032.4028068324667,28,2023.448275862069,1266.4694341302545,29,2387.1428571428573,965.6042327949554,17,all
10_10_casillas_tseltal_2015_46,10,casillas_tseltal_2015,46,0.811204011230839,0.1889188054780654,30,NA,NA,NA,1.1333333333333333,0.3457459036417604,30,0.6153846153846154,0.5063696835418333,13,0.9411764705882353,0.24253562503633297,17,625.9375,353.19597369354784,16,0.7333333333333333,30,3121.3333333333335,1024.1488756720041,30,3054.6666666666665,1099.9928944389105,30,3153.3333333333335,971.4877795150727,21,all
